,price,carat,depth,table,x,y,z,city,cut,color,clarity
27,11007,1.5,61.7,60.0,7.37,7.27,4.52,Las Vegas,Fair,H,VS1
28,7338,1.44,58.1,69.0,7.49,7.34,4.32,Las Vegas,Fair,H,VS1
29,2415,0.7,65.8,56.0,5.54,5.49,3.63,Las Vegas,Fair,H,VS1
30,2193,0.74,66.3,63.0,5.63,5.5,3.69,Las Vegas,Fair,H,VS1
31,1760,0.63,57.3,62.5,5.65,5.7,3.25,New York City,Fair,H,VS1
32,5242,1.0,64.6,59.0,6.3,6.26,4.06,Paris,Fair,H,VS1
33,1136,0.5,66.3,55.0,4.86,4.91,3.24,Paris,Fair,H,VS1
34,14199,2.0,66.0,56.0,7.79,7.72,5.12,Tel Aviv,Fair,H,VS1
35,4455,1.02,71.8,56.0,6.04,5.97,4.31,Dubai,Fair,H,VS1
36,11263,1.51,58.0,67.0,7.63,7.57,4.41,Dubai,Fair,H,VS1
37,4368,1.0,65.4,61.0,6.22,6.17,4.05,Dubai,Fair,H,VS1
38,1155,0.5,66.5,60.0,4.93,4.85,3.25,Kimberly,Fair,H,VS1
39,3676,1.01,67.1,59.0,6.16,6.09,4.11,Kimberly,Fair,H,VS1
40,1134,0.5,67.1,58.0,4.94,4.89,3.3,Kimberly,Fair,H,VS1
41,2594,0.77,64.6,56.4,5.78,5.84,3.75,Surat,Fair,H,VS1
42,4732,1.0,64.1,60.0,6.3,6.22,4.01,Surat,Fair,H,VS1
43,1811,0.7,67.2,55.0,5.48,5.54,3.7,Antwerp,Fair,H,VS1
44,1234,0.51,55.5,64.0,5.44,5.4,3.01,Antwerp,Fair,H,VS1
45,8133,1.57,67.3,66.0,7.85,5.75,3.87,Antwerp,Fair,H,VS1
46,2100,0.7,62.0,73.0,5.65,5.54,3.47,Madrid,Fair,H,VS1
47,3924,0.92,56.0,60.0,6.53,6.51,3.65,Madrid,Fair,H,VS1
48,5460,1.0,55.8,60.0,6.66,6.61,3.7,Madrid,Fair,H,VS1
49,2401,0.71,66.4,62.0,5.54,5.49,3.66,Madrid,Fair,H,VS1
50,8044,1.5,64.8,55.0,7.25,7.2,4.68,London,Fair,H,VS1
51,4368,1.0,57.4,68.0,6.52,6.47,3.73,London,Fair,H,VS1
52,2395,0.7,59.6,66.0,5.8,5.74,3.44,London,Fair,H,VS1
53,12923,1.98,58.3,69.0,8.28,8.17,4.8,London,Fair,H,VS1
54,4115,0.91,56.5,67.0,6.38,6.4,3.61,Madrid,Fair,H,VVS1
55,2203,0.72,65.9,57.0,5.6,5.54,3.67,Amsterdam,Fair,H,SI2
56,2883,0.9,65.0,61.0,6.01,5.96,3.89,Amsterdam,Fair,H,SI2
57,3105,0.9,65.6,58.0,6.05,5.95,3.95,Zurich,Fair,H,SI2
58,5919,1.51,66.9,57.0,7.13,7.09,4.75,Zurich,Fair,H,SI2
59,6632,1.91,64.6,56.0,7.76,7.7,4.99,Zurich,Fair,H,SI2
60,2875,1.0,67.7,60.0,6.11,5.98,4.09,Zurich,Fair,H,SI2
61,4398,1.02,59.6,57.0,6.65,6.5,3.92,Zurich,Fair,H,SI2
62,2530,1.0,67.8,53.0,6.08,6.02,4.1,Las Vegas,Fair,H,SI2
63,13278,2.5,64.9,58.0,8.46,8.43,5.48,Las Vegas,Fair,H,SI2
64,2672,0.96,67.6,63.0,5.99,5.84,4.01,Las Vegas,Fair,H,SI2
65,9045,1.55,64.6,58.0,7.28,7.21,4.68,New York City,Fair,H,SI2
66,3881,1.26,64.9,60.0,6.7,6.62,4.32,New York City,Fair,H,SI2
67,3248,1.0,66.5,62.0,6.19,6.1,4.09,New York City,Fair,H,SI2
68,4368,1.2,64.8,58.0,6.61,6.56,4.27,New York City,Fair,H,SI2
69,11202,2.0,55.3,65.0,8.42,8.35,4.64,New York City,Fair,H,SI2
70,2856,1.0,66.1,56.0,6.21,5.97,4.04,New York City,Fair,H,SI2
71,2823,0.9,65.8,54.0,6.05,5.98,3.96,Paris,Fair,H,SI2
72,7388,1.52,64.9,58.0,7.23,7.19,4.68,Paris,Fair,H,SI2
73,4222,1.16,66.3,57.0,6.56,6.5,4.33,Paris,Fair,H,SI2
74,2912,1.0,67.0,55.0,6.25,6.12,4.16,Paris,Fair,H,SI2
75,7388,1.52,65.0,57.0,7.12,7.09,4.62,Paris,Fair,H,SI2
76,6007,1.73,65.9,58.0,7.52,7.45,4.93,Paris,Fair,H,SI2
77,13278,2.5,64.9,58.0,8.46,8.43,5.48,Tel Aviv,Fair,H,SI2
78,3192,1.0,64.4,57.0,6.35,6.29,4.07,Tel Aviv,Fair,H,SI2
79,3353,0.94,66.0,50.1,6.13,6.17,4.06,Tel Aviv,Fair,H,SI2
80,9549,2.0,68.7,55.0,7.9,7.67,5.35,Dubai,Fair,H,SI2
81,10913,2.0,67.9,55.0,7.67,7.58,5.18,Dubai,Fair,H,SI2
82,2763,0.91,65.7,60.0,6.03,5.99,3.95,Dubai,Fair,H,SI2
83,2717,1.05,64.8,55.0,6.39,6.32,4.12,Dubai,Fair,H,SI2
84,3164,1.0,63.7,54.0,6.42,6.27,4.06,Dubai,Fair,H,SI2
85,2283,0.92,66.1,57.0,6.22,6.0,4.05,Dubai,Fair,H,SI2
86,13587,2.01,61.2,66.0,8.21,8.09,4.98,Dubai,Fair,H,SI2
87,6291,1.51,65.4,60.0,7.06,6.96,4.6,Dubai,Fair,H,SI2
88,4916,1.2,64.8,60.0,6.55,6.59,4.26,Kimberly,Fair,H,SI2
89,2777,0.98,67.9,60.0,6.05,5.97,4.08,Kimberly,Fair,H,SI2
90,17103,2.53,64.6,59.0,8.54,8.45,5.4,Kimberly,Fair,H,SI2
91,5208,1.24,65.0,54.0,6.76,6.73,4.38,Kimberly,Fair,H,SI2
92,7187,1.5,65.5,53.0,7.14,7.11,4.67,Kimberly,Fair,H,SI2
93,13370,2.13,64.5,58.0,8.09,8.01,5.19,Kimberly,Fair,H,SI2
94,10752,2.0,65.3,55.0,7.88,7.79,5.12,Kimberly,Fair,H,SI2
95,2825,0.91,61.3,67.0,6.24,6.19,3.81,Surat,Fair,H,SI2
96,5723,1.46,56.3,60.0,7.61,7.55,4.27,Surat,Fair,H,SI2
97,3118,1.16,68.2,55.0,6.47,6.37,4.38,Surat,Fair,H,SI2
98,1687,0.81,66.2,58.0,5.78,5.74,3.81,Surat,Fair,H,SI2
99,1962,0.74,62.0,53.0,5.85,5.74,3.6,Surat,Fair,H,SI2
100,11600,2.0,65.2,55.0,7.9,7.85,5.13,Surat,Fair,H,SI2
101,3749,1.03,66.3,57.0,6.35,6.25,4.18,Surat,Fair,H,SI2
102,10184,2.01,64.9,56.0,7.88,7.81,5.09,Surat,Fair,H,SI2
103,3640,1.0,65.1,58.0,6.27,6.15,4.05,Surat,Fair,H,SI2
104,2846,1.01,65.4,59.0,6.3,6.26,4.11,Surat,Fair,H,SI2
105,6250,1.5,64.6,59.0,7.2,7.11,4.62,Surat,Fair,H,SI2
106,6291,1.51,64.5,59.0,7.21,7.15,4.63,Surat,Fair,H,SI2
107,10772,2.01,66.7,56.0,7.8,7.76,5.19,Antwerp,Fair,H,SI2
108,2818,1.0,65.3,62.0,6.34,6.12,4.08,Antwerp,Fair,H,SI2
109,6816,1.51,65.5,56.0,7.18,7.13,4.69,Antwerp,Fair,H,SI2
110,2912,1.0,65.2,54.0,6.3,6.22,4.08,Antwerp,Fair,H,SI2
111,11655,2.0,64.5,56.0,7.93,7.86,5.09,Antwerp,Fair,H,SI2
112,2358,0.82,65.1,58.0,5.86,5.81,3.8,Antwerp,Fair,H,SI2
113,2875,1.0,69.5,55.0,6.17,6.1,4.26,Antwerp,Fair,H,SI2
114,3167,1.01,64.5,54.0,6.26,6.15,4.0,Antwerp,Fair,H,SI2
115,4113,1.13,64.4,58.0,6.59,6.51,4.22,Antwerp,Fair,H,SI2
116,4717,1.17,60.0,66.0,6.86,6.78,4.09,Antwerp,Fair,H,SI2
117,3862,1.21,65.6,56.0,6.69,6.59,4.36,Antwerp,Fair,H,SI2
118,6129,1.52,64.9,58.0,7.16,7.13,4.64,Madrid,Fair,H,SI2
119,14080,2.02,56.5,61.0,8.33,8.37,4.72,Madrid,Fair,H,SI2
120,2376,0.9,66.0,63.0,5.89,5.79,3.86,Madrid,Fair,H,SI2
121,3696,1.2,65.6,57.0,6.73,6.57,4.36,Madrid,Fair,H,SI2
122,5000,1.5,66.0,64.0,7.1,6.97,4.64,Madrid,Fair,H,SI2
123,9682,1.7,64.5,55.0,7.58,7.52,4.87,London,Fair,H,SI2
124,1799,0.72,66.0,60.0,5.58,5.51,3.66,Luxembourg,Fair,H,SI2
125,5334,1.27,65.2,54.0,6.78,6.71,4.41,Luxembourg,Fair,H,SI2
126,9386,1.51,65.4,59.0,7.17,7.11,4.67,Amsterdam,Fair,H,SI1
127,3180,0.91,64.4,60.0,6.1,6.07,3.92,Amsterdam,Fair,H,SI1
128,2176,0.7,64.5,59.0,5.54,5.51,3.56,Zurich,Fair,H,SI1
129,8818,1.52,61.2,60.0,7.39,7.29,4.49,Zurich,Fair,H,SI1
130,2048,0.7,65.5,57.0,5.53,5.59,3.64,Zurich,Fair,H,SI1
131,8010,1.51,66.5,56.0,7.03,6.99,4.66,Las Vegas,Fair,H,SI1
132,14646,2.03,65.4,58.0,7.91,7.88,5.16,Las Vegas,Fair,H,SI1
133,1808,0.7,64.8,57.0,5.49,5.59,3.59,Las Vegas,Fair,H,SI1
134,3583,0.98,68.6,58.0,6.18,6.04,4.19,Las Vegas,Fair,H,SI1
135,3830,1.0,55.2,64.0,6.69,6.64,3.68,New York City,Fair,H,SI1
136,3285,0.94,68.4,53.0,6.05,5.97,4.11,New York City,Fair,H,SI1
137,2112,0.71,65.1,56.0,5.63,5.55,3.64,Paris,Fair,H,SI1
138,4256,1.01,65.3,57.0,6.33,6.23,4.1,Paris,Fair,H,SI1
139,2873,1.0,65.5,62.0,6.14,6.07,4.0,Paris,Fair,H,SI1
140,3869,1.01,64.5,59.0,6.27,6.23,4.03,Paris,Fair,H,SI1
141,3057,0.82,64.9,58.0,5.82,5.77,3.76,Tel Aviv,Fair,H,SI1
142,1840,0.7,66.0,56.0,5.5,5.53,3.64,Tel Aviv,Fair,H,SI1
143,6340,1.5,68.0,59.0,7.12,6.82,4.76,Dubai,Fair,H,SI1
144,5771,1.13,65.3,59.0,6.52,6.44,4.23,Dubai,Fair,H,SI1
145,1803,0.7,65.0,59.0,5.54,5.5,3.59,Dubai,Fair,H,SI1
146,984,0.43,62.7,66.0,4.78,4.72,2.98,Dubai,Fair,H,SI1
147,1828,0.71,65.9,57.0,5.54,5.48,3.63,Dubai,Fair,H,SI1
148,1865,0.7,65.3,55.0,5.58,5.54,3.63,Dubai,Fair,H,SI1
149,3511,1.0,65.5,57.0,6.26,6.21,4.08,Kimberly,Fair,H,SI1
150,1865,0.7,65.5,57.0,5.59,5.55,3.65,Kimberly,Fair,H,SI1
151,7832,1.5,66.1,57.0,7.06,6.98,4.64,Kimberly,Fair,H,SI1
152,15762,2.0,65.6,58.0,7.92,7.76,5.15,Kimberly,Fair,H,SI1
153,7509,1.51,55.8,61.0,7.72,7.63,4.28,Kimberly,Fair,H,SI1
154,14430,2.0,65.1,56.0,7.86,7.77,5.09,Kimberly,Fair,H,SI1
155,2049,0.71,65.1,55.0,5.69,5.65,3.69,Kimberly,Fair,H,SI1
156,6838,1.5,65.0,57.0,7.1,7.06,4.6,Kimberly,Fair,H,SI1
157,4150,1.0,56.3,63.0,6.63,6.61,3.73,Kimberly,Fair,H,SI1
158,3482,1.01,64.4,59.0,6.22,6.17,3.99,Kimberly,Fair,H,SI1
159,1995,0.7,61.0,66.0,5.68,5.64,3.45,Kimberly,Fair,H,SI1
160,3869,1.01,65.3,61.0,6.23,6.18,4.05,Surat,Fair,H,SI1
161,5178,1.11,65.7,61.0,6.42,6.39,4.21,Surat,Fair,H,SI1
162,5622,1.19,64.4,58.0,6.69,6.64,4.29,Surat,Fair,H,SI1
163,2051,0.7,64.7,58.0,5.59,5.54,3.6,Surat,Fair,H,SI1
164,8260,1.51,65.8,62.0,7.1,7.06,4.66,Surat,Fair,H,SI1
165,4935,1.02,56.9,58.0,6.64,6.75,3.81,Surat,Fair,H,SI1
166,1078,0.5,62.3,60.0,5.09,5.06,3.16,Antwerp,Fair,H,SI1
167,3511,1.0,65.5,57.0,6.26,6.21,4.08,Antwerp,Fair,H,SI1
168,3750,0.93,64.6,58.0,6.13,6.07,3.94,Antwerp,Fair,H,SI1
169,13502,2.02,66.3,57.0,7.71,7.79,5.14,Antwerp,Fair,H,SI1
170,3282,0.9,61.4,61.0,6.08,6.14,3.75,Antwerp,Fair,H,SI1
171,1094,0.5,64.9,54.0,5.01,4.98,3.24,Antwerp,Fair,H,SI1
172,2328,0.76,61.9,70.0,5.84,5.77,3.59,Antwerp,Fair,H,SI1
173,8001,1.52,65.3,58.0,7.14,7.1,4.65,Antwerp,Fair,H,SI1
174,4191,1.01,64.6,55.0,6.29,6.25,4.05,Antwerp,Fair,H,SI1
175,3546,1.01,66.4,57.0,6.12,6.08,4.05,Antwerp,Fair,H,SI1
176,3862,1.21,69.6,55.0,6.49,6.42,4.49,Antwerp,Fair,H,SI1
177,3024,0.9,65.6,57.0,6.04,6.01,3.95,Madrid,Fair,H,SI1
178,3180,0.91,64.8,57.0,6.12,6.07,3.95,Madrid,Fair,H,SI1
179,4758,1.02,65.5,60.0,6.29,6.22,4.1,Madrid,Fair,H,SI1
180,2193,0.76,65.5,59.0,5.75,5.66,3.74,London,Fair,H,SI1
181,15695,2.02,56.2,61.0,8.8,8.33,4.81,London,Fair,H,SI1
182,13764,2.0,61.2,50.0,8.17,8.08,4.97,Luxembourg,Fair,H,SI1
183,3278,0.91,65.3,62.0,6.11,6.01,3.96,Luxembourg,Fair,H,SI1
184,2500,0.7,65.8,58.0,5.49,5.42,3.59,New York City,Fair,H,VVS2
185,1227,0.45,65.8,56.0,4.82,4.7,3.13,Tel Aviv,Fair,H,VVS2
186,2608,0.72,56.5,68.0,6.03,5.89,3.37,Tel Aviv,Fair,H,VVS2
187,922,0.33,65.1,59.0,4.4,4.32,2.84,Dubai,Fair,H,VVS2
188,4355,1.01,65.0,55.0,6.31,6.27,4.09,Dubai,Fair,H,VVS2
189,5171,1.08,55.9,63.0,6.9,6.8,3.83,Kimberly,Fair,H,VVS2
190,2699,0.76,64.8,57.0,5.67,5.81,3.71,Antwerp,Fair,H,VVS2
191,4312,1.0,65.3,58.0,6.25,6.18,4.06,Luxembourg,Fair,H,VVS2
192,1739,0.96,64.3,59.0,6.38,5.88,3.98,Amsterdam,Fair,H,I1
193,6564,2.22,70.1,55.0,7.77,7.74,5.44,Zurich,Fair,H,I1
194,6860,2.32,70.5,55.0,7.93,7.9,5.58,Zurich,Fair,H,I1
195,1808,0.96,60.1,62.0,6.21,6.0,3.68,Zurich,Fair,H,I1
196,2999,1.02,61.5,60.0,6.4,6.34,3.92,Las Vegas,Fair,H,I1
197,6653,2.25,67.7,58.0,8.01,7.97,5.41,Las Vegas,Fair,H,I1
198,6002,2.03,66.6,57.0,7.81,7.75,5.19,New York City,Fair,H,I1
199,4140,1.32,65.8,55.0,6.87,6.83,4.51,New York City,Fair,H,I1
200,4898,1.47,66.7,59.0,6.98,6.94,4.64,Paris,Fair,H,I1
201,2293,1.05,61.8,57.0,6.51,6.4,3.99,Paris,Fair,H,I1
202,1138,0.7,62.1,66.0,5.56,5.52,3.44,Tel Aviv,Fair,H,I1
203,3175,1.5,69.3,61.0,6.99,6.81,4.78,Tel Aviv,Fair,H,I1
204,4648,1.52,69.7,55.0,6.92,6.89,4.81,Tel Aviv,Fair,H,I1
205,4648,1.52,65.4,62.0,7.1,7.02,4.62,Tel Aviv,Fair,H,I1
206,8064,2.0,66.8,57.0,7.81,7.72,5.19,Tel Aviv,Fair,H,I1
207,1705,0.96,61.1,60.0,6.26,6.07,3.77,Tel Aviv,Fair,H,I1
208,5292,1.5,68.9,56.0,7.0,6.9,4.79,Dubai,Fair,H,I1
209,1637,0.96,61.5,63.0,6.22,6.06,3.78,Dubai,Fair,H,I1
210,5914,2.0,69.8,54.0,7.6,7.56,5.29,Kimberly,Fair,H,I1
211,5645,1.5,65.5,58.0,7.02,6.96,4.58,Surat,Fair,H,I1
212,3504,1.52,64.9,58.0,7.18,7.13,4.65,Surat,Fair,H,I1
213,1705,0.96,66.9,60.0,6.15,6.04,4.09,Surat,Fair,H,I1
214,1808,0.96,67.4,62.0,6.13,5.96,4.08,Surat,Fair,H,I1
215,10761,3.01,56.1,62.0,9.54,9.38,5.31,Antwerp,Fair,H,I1
216,2596,1.29,67.7,62.0,6.69,6.59,4.5,Antwerp,Fair,H,I1
217,1758,0.9,66.9,63.0,6.04,5.91,4.0,Antwerp,Fair,H,I1
218,2512,1.3,64.4,57.0,6.93,6.86,4.44,Antwerp,Fair,H,I1
219,4939,1.5,65.7,58.0,7.07,7.02,4.63,Antwerp,Fair,H,I1
220,3765,1.51,65.6,61.0,7.16,7.0,4.66,Antwerp,Fair,H,I1
221,4939,1.5,66.6,54.0,7.05,7.01,4.68,Antwerp,Fair,H,I1
222,1324,0.85,61.0,61.0,6.2,6.0,3.73,Antwerp,Fair,H,I1
223,1250,0.85,66.9,54.0,5.98,5.75,3.94,Madrid,Fair,H,I1
224,6328,2.14,66.4,56.0,8.0,7.92,5.29,Madrid,Fair,H,I1
225,1773,0.96,68.9,59.0,6.09,5.96,4.15,Madrid,Fair,H,I1
226,17329,4.13,64.8,61.0,10.0,9.85,6.43,London,Fair,H,I1
227,2892,1.19,65.1,59.0,6.62,6.55,4.29,Luxembourg,Fair,H,I1
228,5993,1.82,67.3,58.0,7.5,7.47,5.04,Luxembourg,Fair,H,I1
229,1324,0.85,66.7,59.0,5.86,5.78,3.88,Luxembourg,Fair,H,I1
230,2921,0.9,64.1,66.0,6.04,5.98,3.85,Zurich,Fair,I,VS2
231,1996,0.7,64.4,55.0,5.6,5.55,3.59,Zurich,Fair,I,VS2
232,15729,2.01,66.3,57.0,7.79,7.74,5.15,Zurich,Fair,I,VS2
233,2550,0.88,57.4,67.0,6.49,6.36,3.69,Las Vegas,Fair,I,VS2
234,2208,0.71,64.7,60.0,5.54,5.46,3.56,Las Vegas,Fair,I,VS2
235,1437,0.61,57.4,60.9,5.6,5.65,3.23,Las Vegas,Fair,I,VS2
236,3215,0.96,56.1,60.0,6.62,6.58,3.7,New York City,Fair,I,VS2
237,9116,1.51,58.8,62.0,7.57,7.51,4.43,New York City,Fair,I,VS2
238,8287,1.51,64.6,58.0,7.19,7.15,4.63,New York City,Fair,I,VS2
239,2414,0.81,64.6,59.0,5.83,5.78,3.75,Paris,Fair,I,VS2
240,2577,0.83,64.9,58.0,5.9,5.84,3.81,Tel Aviv,Fair,I,VS2
241,7182,1.35,61.6,62.0,7.15,7.1,4.39,Dubai,Fair,I,VS2
242,8996,1.53,57.7,69.0,7.6,7.51,4.36,Surat,Fair,I,VS2
243,1411,0.64,55.3,69.0,5.85,5.69,3.19,Surat,Fair,I,VS2
244,3258,0.93,64.7,58.0,6.09,6.06,3.93,Surat,Fair,I,VS2
245,3265,1.0,65.7,58.0,6.25,6.2,4.09,Surat,Fair,I,VS2
246,8879,1.51,64.8,60.0,7.18,7.1,4.63,Surat,Fair,I,VS2
247,2666,0.9,65.8,55.0,6.05,6.01,3.97,Antwerp,Fair,I,VS2
248,855,0.46,66.8,55.0,4.82,4.77,3.2,Antwerp,Fair,I,VS2
249,3246,0.9,65.4,60.0,6.03,5.96,3.93,Antwerp,Fair,I,VS2
250,1436,0.67,57.2,70.0,5.82,5.75,3.31,Madrid,Fair,I,VS2
251,4553,1.18,62.0,66.0,6.75,6.63,4.16,Madrid,Fair,I,VS2
252,1814,0.7,66.1,56.0,5.53,5.48,3.64,London,Fair,I,VS2
253,1659,0.65,65.1,55.6,5.44,5.5,3.56,London,Fair,I,VS2
254,3597,1.01,68.7,58.0,6.14,6.0,4.19,Luxembourg,Fair,I,VS2
255,4695,1.13,55.9,67.0,7.05,6.94,3.9,Luxembourg,Fair,I,VS2
256,4328,1.03,57.6,58.0,6.67,6.58,3.81,Amsterdam,Fair,I,VS1
257,969,0.5,66.9,56.0,4.85,4.81,3.23,Amsterdam,Fair,I,VS1
258,17408,2.05,67.7,58.0,7.74,7.68,5.22,Zurich,Fair,I,VS1
259,2330,0.73,55.9,66.0,6.11,6.01,3.39,Las Vegas,Fair,I,VS1
260,1692,0.69,57.9,63.0,5.73,5.77,3.33,Las Vegas,Fair,I,VS1
261,2184,0.77,65.1,57.0,5.65,5.77,3.72,Tel Aviv,Fair,I,VS1
262,3387,0.9,65.2,60.0,6.0,5.96,3.9,Dubai,Fair,I,VS1
263,2297,0.81,66.5,53.0,5.76,5.83,3.86,Kimberly,Fair,I,VS1
264,3951,1.0,64.0,49.0,6.43,6.39,4.1,Kimberly,Fair,I,VS1
265,972,0.46,65.6,57.0,4.85,4.82,3.17,Kimberly,Fair,I,VS1
266,11322,2.0,58.5,68.0,8.26,8.15,4.8,Surat,Fair,I,VS1
267,735,0.41,65.3,58.0,4.62,4.66,3.03,Surat,Fair,I,VS1
268,2732,0.9,68.7,62.0,5.83,5.79,3.99,Surat,Fair,I,VS1
269,1229,0.59,64.4,59.0,5.29,5.21,3.38,Surat,Fair,I,VS1
270,12907,2.0,66.3,54.0,7.98,7.88,5.26,Antwerp,Fair,I,VS1
271,4263,1.01,64.9,58.0,6.17,6.22,4.02,Antwerp,Fair,I,VS1
272,3801,1.01,64.9,56.0,6.29,6.2,4.07,Madrid,Fair,I,VS1
273,2104,0.71,64.5,56.0,5.61,5.56,3.6,Madrid,Fair,I,VS1
274,3763,1.0,65.3,55.0,6.34,6.25,4.11,Madrid,Fair,I,VS1
275,2334,0.89,68.2,65.0,5.82,5.74,3.94,London,Fair,I,VS1
276,4194,0.9,63.5,57.0,5.98,6.09,3.83,Tel Aviv,Fair,I,VVS1
277,2540,0.96,66.3,58.0,6.07,5.9,3.97,Amsterdam,Fair,I,SI2
278,3802,1.02,65.5,57.0,6.19,6.24,4.07,Zurich,Fair,I,SI2
279,3054,1.01,66.1,58.0,6.21,6.04,4.05,Zurich,Fair,I,SI2
280,9610,2.0,65.0,57.0,8.01,7.96,5.19,Zurich,Fair,I,SI2
281,2743,1.0,66.8,56.0,6.22,6.12,4.13,Las Vegas,Fair,I,SI2
282,6209,1.5,68.1,59.0,7.12,6.84,4.75,Las Vegas,Fair,I,SI2
283,18242,3.01,65.8,56.0,8.99,8.94,5.9,Las Vegas,Fair,I,SI2
284,9802,2.04,66.6,56.0,7.8,7.77,5.19,Las Vegas,Fair,I,SI2
285,8800,1.71,65.1,60.0,7.5,7.46,4.87,New York City,Fair,I,SI2
286,8037,2.0,66.8,55.0,7.75,7.71,5.16,New York City,Fair,I,SI2
287,2811,0.99,68.1,56.0,6.21,6.06,4.18,New York City,Fair,I,SI2
288,10833,2.0,65.9,57.0,7.96,7.79,5.19,Paris,Fair,I,SI2
289,4423,1.35,66.5,57.0,6.79,6.74,4.5,Paris,Fair,I,SI2
290,6905,1.52,64.7,58.0,7.19,7.22,4.66,Tel Aviv,Fair,I,SI2
291,15030,2.48,56.7,66.0,8.88,8.64,4.99,Tel Aviv,Fair,I,SI2
292,3833,1.17,59.2,68.0,6.91,6.84,4.07,Dubai,Fair,I,SI2
293,3530,1.03,65.2,56.0,6.42,6.35,4.16,Kimberly,Fair,I,SI2
294,7727,1.54,64.6,56.0,7.3,7.26,4.7,Kimberly,Fair,I,SI2
295,2129,0.91,65.0,58.0,6.05,6.02,3.92,Kimberly,Fair,I,SI2
296,3348,1.0,65.8,58.0,6.23,6.27,4.11,Surat,Fair,I,SI2
297,10711,2.01,66.9,58.0,7.93,7.69,5.21,Surat,Fair,I,SI2
298,10483,2.0,67.7,57.0,7.88,7.64,5.26,Surat,Fair,I,SI2
299,4328,1.5,70.1,58.0,6.96,6.85,4.84,Surat,Fair,I,SI2
300,6717,1.5,64.8,58.0,7.05,7.15,4.6,Surat,Fair,I,SI2
301,3290,1.02,66.2,57.0,6.34,6.26,4.17,Antwerp,Fair,I,SI2
302,6375,1.54,65.0,56.0,7.22,7.14,4.67,Antwerp,Fair,I,SI2
303,1892,0.73,61.3,67.0,5.77,5.64,3.51,Antwerp,Fair,I,SI2
304,4551,1.26,64.8,57.0,6.73,6.69,4.35,Antwerp,Fair,I,SI2
305,16970,3.0,64.8,59.0,8.93,8.73,5.72,Antwerp,Fair,I,SI2
306,6156,1.51,66.0,57.0,7.14,7.0,4.7,Antwerp,Fair,I,SI2
307,1625,0.7,65.9,58.0,5.46,5.5,3.61,Madrid,Fair,I,SI2
308,8736,2.0,69.1,56.0,7.84,7.7,5.37,London,Fair,I,SI2
309,2884,1.03,65.3,55.0,6.32,6.27,4.11,Luxembourg,Fair,I,SI2
310,3669,1.12,64.6,57.0,6.5,6.47,4.19,Luxembourg,Fair,I,SI2
311,3054,1.01,68.1,59.0,6.14,6.11,4.17,Luxembourg,Fair,I,SI2
312,2873,0.9,65.8,56.0,6.01,5.96,3.94,Amsterdam,Fair,I,SI1
313,2873,0.9,65.3,61.0,5.98,5.94,3.89,Amsterdam,Fair,I,SI1
